DateTime,ID,Count
2021-3-28 07:00:00,MVP104,25
2021-3-28 07:09:00,MVP104,26
2021-3-28 07:10:00,MVP104,27
2021-3-28 07:14:00,MVP104,28
2021-3-28 07:19:00,MVP104,29
2021-3-28 07:26:00,MVP104,30
2021-3-28 07:32:00,MVP104,31
2021-3-28 07:40:00,MVP104,32
2021-3-28 07:46:00,MVP104,33
2021-3-28 07:51:00,MVP104,34
2021-3-28 08:01:00,MVP104,35
2021-3-28 08:02:00,MVP104,36
2021-3-28 08:05:00,MVP104,37
2021-3-28 08:15:00,MVP104,38
2021-3-28 08:17:00,MVP104,39
2021-3-28 08:24:00,MVP104,40
2021-3-28 08:29:00,MVP104,41
2021-3-28 08:32:00,MVP104,42
2021-3-28 08:36:00,MVP104,43
2021-3-28 08:44:00,MVP104,44
2021-3-28 08:49:00,MVP104,45
2021-3-28 08:57:00,MVP104,46
2021-3-28 08:58:00,MVP104,47
2021-3-28 08:59:00,MVP104,48
2021-3-28 09:03:00,MVP104,49
2021-3-28 09:05:00,MVP104,50
2021-3-28 09:15:00,MVP104,51
2021-3-28 09:19:00,MVP104,52
2021-3-28 09:24:00,MVP104,53
2021-3-28 09:27:00,MVP104,54
2021-3-28 09:32:00,MVP104,55
2021-3-28 09:37:00,MVP104,56
2021-3-28 09:41:00,MVP104,57
2021-3-28 09:51:00,MVP104,58
2021-3-28 09:54:00,MVP104,59
2021-3-28 09:59:00,MVP104,60
2021-3-28 10:04:00,MVP104,61
2021-3-28 10:12:00,MVP104,62
2021-3-28 10:18:00,MVP104,63
2021-3-28 10:27:00,MVP104,64
2021-3-28 10:34:00,MVP104,65
2021-3-28 10:36:00,MVP104,66
2021-3-28 10:42:00,MVP104,67
2021-3-28 10:51:00,MVP104,68
2021-3-28 10:58:00,MVP104,69
2021-3-28 11:05:00,MVP104,70
2021-3-28 11:06:00,MVP104,71
2021-3-28 11:09:00,MVP104,72
2021-3-28 11:11:00,MVP104,73
2021-3-28 11:15:00,MVP104,74
2021-3-28 11:20:00,MVP104,75
2021-3-28 11:21:00,MVP104,76
2021-3-28 11:29:00,MVP104,77
2021-3-28 11:36:00,MVP104,78
2021-3-28 11:37:00,MVP104,79
2021-3-28 11:47:00,MVP104,80
2021-3-28 11:52:00,MVP104,81
2021-3-28 11:54:00,MVP104,82
2021-3-28 12:03:00,MVP104,83
2021-3-28 12:03:00,MVP104,84
2021-3-28 12:03:00,MVP104,85
2021-3-28 12:08:00,MVP104,86
2021-3-28 12:13:00,MVP104,87
2021-3-28 12:23:00,MVP104,88
2021-3-28 12:24:00,MVP104,89
2021-3-28 12:34:00,MVP104,90
2021-3-28 12:36:00,MVP104,91
2021-3-28 12:46:00,MVP104,92
2021-3-28 12:47:00,MVP104,93
2021-3-28 12:56:00,MVP104,94
2021-3-28 13:04:00,MVP104,95
2021-3-28 13:06:00,MVP104,96
2021-3-28 13:06:00,MVP104,97
2021-3-28 13:12:00,MVP104,98
2021-3-28 13:19:00,MVP104,99
2021-3-28 13:28:00,MVP104,100
2021-3-28 13:35:00,MVP104,101
2021-3-28 13:38:00,MVP104,102
2021-3-28 13:42:00,MVP104,103
2021-3-28 13:48:00,MVP104,104
2021-3-28 13:58:00,MVP104,105
2021-3-28 14:00:00,MVP104,106
2021-3-28 14:00:00,MVP104,107
2021-3-28 14:01:00,MVP104,108
2021-3-28 14:03:00,MVP104,109
2021-3-28 14:07:00,MVP104,110
2021-3-28 14:16:00,MVP104,111
2021-3-28 14:19:00,MVP104,112
2021-3-28 14:24:00,MVP104,113
2021-3-28 14:29:00,MVP104,114
2021-3-28 14:30:00,MVP104,115
2021-3-28 14:37:00,MVP104,116
2021-3-28 14:45:00,MVP104,117
2021-3-28 14:51:00,MVP104,118
2021-3-28 14:53:00,MVP104,119
2021-3-28 14:58:00,MVP104,120
2021-3-28 15:07:00,MVP104,121
2021-3-28 15:08:00,MVP104,122
2021-3-28 15:14:00,MVP104,123
